,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
270,"Ningbo University(Ningbo University),Ningbo,China","Ningbo University(Ningbo University),Ningbo,China",7451,"{'primary organization': [{'text': 'ningbo university', 'start': 0, 'end': 17, 'probability': 0.9920276510705861}, {'text': 'ningbo university', 'start': 18, 'end': 35, 'probability': 0.9944293705546663}], 'secondary organization': [{'text': 'ningbo university', 'start': 0, 'end': 17, 'probability': 0.8967514084303829}, {'text': 'ningbo university', 'start': 18, 'end': 35, 'probability': 0.9906707487130468}], 'tertiary organization': [{'text': 'ningbo university', 'start': 0, 'end': 17, 'probability': 0.9933440892071914}, {'text': 'ningbo university', 'start': 18, 'end': 35, 'probability': 0.9972670779717987}], 'city': [{'text': 'ningbo', 'start': 37, 'end': 43, 'probability': 0.9985794684349685}], 'country': [{'text': 'china', 'start': 44, 'end': 49, 'probability': 0.9999808669931909}]}",ningbo university
271,"Univ Calif Los Angeles, Los Angeles, CA 90095 USA","Univ Calif Los Angeles, Los Angeles, CA 90095 USA",7451,"{'primary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.5211119532039561}], 'secondary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.5325344252831599}], 'tertiary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.6847789510262885}], 'city': [{'text': 'los angeles', 'start': 24, 'end': 35, 'probability': 0.9973467980107245}, {'text': 'los angeles', 'start': 11, 'end': 22, 'probability': 0.9123310857041602}], 'postal code': [{'text': '90095', 'start': 40, 'end': 45, 'probability': 0.998239371661775}], 'country': [{'text': 'usa', 'start': 46, 'end': 49, 'probability': 0.9996584276417053}]}",univ calif
272,"East China Normal University(East China Normal University),Shanghai,China","East China Normal University(East China Normal University),Shanghai,China",7436,"{'primary organization': [{'text': 'east china normal university', 'start': 0, 'end': 28, 'probability': 0.9975292847117316}, {'text': 'east china normal university', 'start': 29, 'end': 57, 'probability': 0.8282871953025683}], 'secondary organization': [{'text': 'east china normal university', 'start': 0, 'end': 28, 'probability': 0.9972168899461238}, {'text': 'east china normal university', 'start': 29, 'end': 57, 'probability': 0.8909847600578367}], 'tertiary organization': [{'text': 'east china normal university', 'start': 0, 'end': 28, 'probability': 0.9984410376143771}, {'text': 'east china normal university', 'start': 29, 'end': 57, 'probability': 0.9633332265057106}], 'city': [{'text': 'shanghai', 'start': 59, 'end': 67, 'probability': 0.9999784828385145}], 'country': [{'text': 'china', 'start': 68, 'end': 73, 'probability': 0.9998619583923407}, {'text': 'china', 'start': 5, 'end': 10, 'probability': 0.995703901993334}, {'text': 'china', 'start': 34, 'end': 39, 'probability': 0.9953886155078919}]}",east china normal university
273,"Nanjing Medical University(Nanjing Medical University),Nanjing,China","Nanjing Medical University(Nanjing Medical University),Nanjing,China",7413,"{'primary organization': [{'text': 'nanjing medical university', 'start': 0, 'end': 26, 'probability': 0.992943698895477}, {'text': 'nanjing medical university', 'start': 27, 'end': 53, 'probability': 0.9420350586163195}], 'secondary organization': [{'text': 'nanjing medical university', 'start': 0, 'end': 26, 'probability': 0.9517982363294664}, {'text': 'nanjing medical university', 'start': 27, 'end': 53, 'probability': 0.9120027216466653}], 'tertiary organization': [{'text': 'nanjing medical university', 'start': 0, 'end': 26, 'probability': 0.9943327486029787}, {'text': 'nanjing medical university', 'start': 27, 'end': 53, 'probability': 0.9820094789815776}], 'city': [{'text': 'nanjing', 'start': 27, 'end': 34, 'probability': 0.9901098547586002}, {'text': 'nanjing', 'start': 0, 'end': 7, 'probability': 0.9577055149466958}, {'text': 'nanjing', 'start': 55, 'end': 62, 'probability': 0.9990574859712638}], 'country': [{'text': 'china', 'start': 63, 'end': 68, 'probability': 0.9999774099298833}]}",nanjing medical university
274,"Univ Sci & Technol Beijing, Sch Mat Sci & Engn, Beijing 100083, Peoples R China","Univ Sci & Technol Beijing, Sch Mat Sci & Engn, Beijing 100083, Peoples R China",7380,"{'primary organization': [{'text': 'univ sci & technol', 'start': 0, 'end': 18, 'probability': 0.9069396568463901}], 'secondary organization': [{'text': 'univ sci & technol', 'start': 0, 'end': 18, 'probability': 0.8443170354667728}], 'tertiary organization': [{'text': 'peoples r china', 'start': 64, 'end': 79, 'probability': 0.3022855566427758}, {'text': 'univ sci & technol', 'start': 0, 'end': 18, 'probability': 0.7445641484566607}], 'city': [{'text': 'beijing', 'start': 48, 'end': 55, 'probability': 0.9997788177832874}, {'text': 'beijing', 'start': 19, 'end': 26, 'probability': 0.9975835533243753}], 'postal code': [{'text': '100083', 'start': 56, 'end': 62, 'probability': 0.3549513512150071}], 'country': [{'text': 'china', 'start': 74, 'end': 79, 'probability': 0.9999845624507557}]}",univ sci & technol
275,"Beijing Univ Posts & Telecommun, State Key Lab Informat Photon & Opt Commun, Beijing 100876, Peoples R China","Beijing Univ Posts & Telecommun, State Key Lab Informat Photon & Opt Commun, Beijing 100876, Peoples R China",7368,"{'primary organization': [{'text': 'informat photon & opt commun', 'start': 47, 'end': 75, 'probability': 0.958784129949894}], 'secondary organization': [{'text': 'informat photon & opt commun', 'start': 47, 'end': 75, 'probability': 0.9557779157410593}], 'tertiary organization': [{'text': 'informat photon & opt commun', 'start': 47, 'end': 75, 'probability': 0.9219191409707008}], 'city': [{'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.9815903538597013}, {'text': 'beijing', 'start': 77, 'end': 84, 'probability': 0.9998407415475832}], 'postal code': [{'text': '100876', 'start': 85, 'end': 91, 'probability': 0.4311921794953264}], 'country': [{'text': 'china', 'start': 103, 'end': 108, 'probability': 0.9999811053938359}]}",informat photon & opt commun
276,universidade federal do espirito santo,universityersidade federal do espirito santo,7301,"{'primary organization': [{'text': 'universidade federal do espirito santo', 'start': 0, 'end': 38, 'probability': 0.9996544844874222}], 'secondary organization': [{'text': 'universidade federal do espirito santo', 'start': 0, 'end': 38, 'probability': 0.9980199939948697}], 'tertiary organization': [{'text': 'universidade federal do espirito santo', 'start': 0, 'end': 38, 'probability': 0.9997655844305129}]}",universidade federal do espirito santo
277,"Southern Medical University(^ Southern Medical University),TongHe,China","Southern Medical University(^ Southern Medical University),TongHe,China",7267,"{'primary organization': [{'text': 'southern medical university', 'start': 30, 'end': 57, 'probability': 0.9876539732378902}, {'text': 'southern medical university', 'start': 0, 'end': 27, 'probability': 0.9990263319930293}], 'secondary organization': [{'text': 'southern medical university', 'start': 30, 'end': 57, 'probability': 0.9782597672160591}, {'text': 'southern medical university', 'start': 0, 'end': 27, 'probability': 0.9976977862354204}], 'tertiary organization': [{'text': 'southern medical university', 'start': 30, 'end': 57, 'probability': 0.9955429607500363}, {'text': 'southern medical university', 'start': 0, 'end': 27, 'probability': 0.9993226466903593}], 'city': [{'text': 'tonghe', 'start': 59, 'end': 65, 'probability': 0.994326300024337}], 'country': [{'text': 'china', 'start': 66, 'end': 71, 'probability': 0.9999827147112832}]}",southern medical university
278,"Univ Calif Los Angeles, Dept Phys & Astron, Los Angeles, CA 90095 USA","Univ Calif Los Angeles, Dept Phys & Astron, Los Angeles, CA 90095 USA",7260,"{'primary organization': [{'text': 'phys & astron', 'start': 29, 'end': 42, 'probability': 0.973095552011678}], 'secondary organization': [{'text': 'phys & astron', 'start': 29, 'end': 42, 'probability': 0.9921348628367177}], 'tertiary organization': [{'text': 'phys & astron', 'start': 29, 'end': 42, 'probability': 0.9960715778974034}], 'city': [{'text': 'los angeles', 'start': 44, 'end': 55, 'probability': 0.9989595104993043}], 'postal code': [{'text': '90095', 'start': 60, 'end': 65, 'probability': 0.9995499752576507}], 'country': [{'text': 'usa', 'start': 66, 'end': 69, 'probability': 0.9998369861367564}]}",phys & astron
279,"Univ N Carolina, Dept Chem, Chapel Hill, NC 27599 USA","Univ N Carolina, Dept Chem, Chapel Hill, NC 27599 USA",7258,"{'primary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.7220825530160369}], 'secondary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.9434683235407704}], 'tertiary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.933362464943059}], 'city': [{'text': 'chapel hill', 'start': 28, 'end': 39, 'probability': 0.9999176875129407}], 'postal code': [{'text': '27599', 'start': 44, 'end': 49, 'probability': 0.9903509075034833}], 'country': [{'text': 'usa', 'start': 50, 'end': 53, 'probability': 0.9992408314296775}]}",univ n carolina
280,"Penn State Univ, Dept Chem, University Pk, PA 16802 USA","Penn State Univ, Dept Chem, University Pk, PA 16802 USA",7239,"{'primary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.9439445488471918}], 'secondary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.9666248642253095}], 'tertiary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.961227672625462}], 'city': [{'text': 'university pk', 'start': 28, 'end': 41, 'probability': 0.9878869965818353}], 'postal code': [{'text': '16802', 'start': 46, 'end': 51, 'probability': 0.9974890412627531}], 'country': [{'text': 'usa', 'start': 52, 'end': 55, 'probability': 0.9998275100585268}]}",penn state univ
281,"Johns Hopkins Univ Hosp, Baltimore, MD 21287 USA","Johns Hopkins Univ Hosp, Baltimore, MD 21287 USA",7237,"{'city': [{'text': 'baltimore', 'start': 25, 'end': 34, 'probability': 0.9999505286515991}], 'postal code': [{'text': '21287', 'start': 39, 'end': 44, 'probability': 0.961830961361013}], 'country': [{'text': 'usa', 'start': 45, 'end': 48, 'probability': 0.9998586214404668}]}",NaN
282,air force research laboratory,air force research laboratory,7220,"{'primary organization': [{'text': 'air force research laboratory', 'start': 0, 'end': 29, 'probability': 0.9240630022841572}], 'secondary organization': [{'text': 'air force research laboratory', 'start': 0, 'end': 29, 'probability': 0.6656501831929944}], 'tertiary organization': [{'text': 'air force research laboratory', 'start': 0, 'end': 29, 'probability': 0.6942792281057208}]}",air force research laboratory
283,"Third Military Medical University(Third Military Medical University),Chongqing,China","Third Military Medical University(Third Military Medical University),Chongqing,China",7203,"{'primary organization': [{'text': 'third military medical university', 'start': 0, 'end': 33, 'probability': 0.8462154521181731}, {'text': 'military medical university', 'start': 40, 'end': 67, 'probability': 0.4949858579608417}], 'secondary organization': [{'text': 'third military medical university', 'start': 0, 'end': 33, 'probability': 0.8551953392028366}], 'tertiary organization': [{'text': 'third military medical university', 'start': 0, 'end': 33, 'probability': 0.9426450356750813}, {'text': 'military medical university', 'start': 40, 'end': 67, 'probability': 0.4733775250129213}], 'city': [{'text': 'chongqing', 'start': 69, 'end': 78, 'probability': 0.9996596233635913}], 'country': [{'text': 'china', 'start': 79, 'end': 84, 'probability': 0.9999806881667155}]}",third military medical university
284,"Univ Roma La Sapienza, Rome, Italy","Univ Roma La Sapienza, Rome, Italy",7182,"{'primary organization': [{'text': 'univ roma', 'start': 0, 'end': 9, 'probability': 0.9977511715916094}], 'secondary organization': [{'text': 'univ roma', 'start': 0, 'end': 9, 'probability': 0.9456674850738906}], 'tertiary organization': [{'text': 'univ roma', 'start': 0, 'end': 9, 'probability': 0.9930202125361411}], 'city': [{'text': 'rome', 'start': 23, 'end': 27, 'probability': 0.9999659660114446}], 'country': [{'text': 'italy', 'start': 29, 'end': 34, 'probability': 0.9999567272074614}]}",univ roma
285,"Xi'an University of Architecture and Technology(Xi'an University of Architecture and Technology,Xi'an Univ. of Arch. and Tech.),Xi An,China","Xi'an University of Architecture and Technology(Xi'an University of Architecture and Technology,Xi'an Univ. of Arch. and Tech.),Xi An,China",7138,"{'primary organization': [{'text': ""xi'an university of architecture and technology"", 'start': 48, 'end': 95, 'probability': 0.799472598636612}, {'text': ""xi'an university of architecture and technology"", 'start': 0, 'end': 47, 'probability': 0.9760480464267651}], 'secondary organization': [{'text': ""xi'an university of architecture and technology"", 'start': 48, 'end': 95, 'probability': 0.8260991826724506}, {'text': ""xi'an university of architecture and technology"", 'start': 0, 'end': 47, 'probability': 0.9770864146894525}], 'tertiary organization': [{'text': ""xi'an university of architecture and technology"", 'start': 48, 'end': 95, 'probability': 0.8676001947565908}, {'text': ""xi'an univ. of arch. and tech."", 'start': 96, 'end': 126, 'probability': 0.5300415465946315}, {'text': ""xi'an university of architecture and technology"", 'start': 0, 'end': 47, 'probability': 0.9823273286380996}], 'city': [{'text': 'xi an', 'start': 128, 'end': 133, 'probability': 0.9831454336312788}], 'country': [{'text': 'china', 'start': 134, 'end': 139, 'probability': 0.9998871099691264}]}",xi'an university of architecture and technology
286,"Institute of Chemistry Chinese Academy of Sciences(Chinese Academy of Sciences,Institute of Chemistry),Beijing,China","Institute of Chemistry Chinese Academy of Sciences(Chinese Academy of Sciences,Institute of Chemistry),Beijing,China",7124,"{'primary organization': [{'text': 'chinese academy of sciences,institute of chemistry', 'start': 51, 'end': 101, 'probability': 0.5029754704296749}, {'text': 'institute of chemistry', 'start': 0, 'end': 22, 'probability': 0.9221812590451322}, {'text': 'chinese academy of sciences', 'start': 23, 'end': 50, 'probability': 0.6299662602629326}], 'secondary organization': [{'text': 'institute of chemistry', 'start': 0, 'end': 22, 'probability': 0.6243570222388151}, {'text': 'chinese academy of sciences', 'start': 23, 'end': 50, 'probability': 0.5874571619123934}], 'tertiary organization': [{'text': 'chinese academy of sciences,institute of chemistry', 'start': 51, 'end': 101, 'probability': 0.7000094616414572}, {'text': 'institute of chemistry', 'start': 0, 'end': 22, 'probability': 0.7954149594654893}, {'text': 'chinese academy of sciences', 'start': 23, 'end': 50, 'probability': 0.8243335215110932}], 'city': [{'text': 'beijing', 'start': 103, 'end': 110, 'probability': 0.9999760390260235}], 'country': [{'text': 'china', 'start': 111, 'end': 116, 'probability': 0.9999741316886173}]}",institute of chemistry
