,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
703,"university texas md anderson canc center, department biostat, houston, tx 77030 usa","univ texas md anderson canc ctr, dept biostat, houston, tx 77030 usa","university texas md anderson canc center, department biostat, houston, tx 77030 usa",3891,university texas
704,quaid i azam university,quaid i azam university,quaid i azam university,3887,quaid i azam university
705,"guilin university of electronic technology(guilin university of electronic technology,guilin institute of technology),guilin,china","guilin university of electronic technology(guilin university of electronic technology,guilin institute of technology),guilin,china","guilin university of electronic technology(guilin university of electronic technology,guilin institute of technology),guilin,china",3887,guilin university of electronic technology
706,"university texas md anderson canc center, houston, tx usa","univ texas md anderson canc ctr, houston, tx usa","university texas md anderson canc center, houston, tx usa",3884,university texas
707,"university basel hospital, ch-4031 basel, switzerland","univ basel hosp, ch-4031 basel, switzerland","university basel hospital, ch-4031 basel, switzerland",3882,university basel hospital
708,"seoul national university hospital, seoul 110744, south korea","seoul natl univ hosp, seoul 110744, south korea","seoul national university hospital, seoul 110744, south korea",3880,seoul national university hospital
709,"beijing university posts and telecommunications, state key laboratory networking and switching technology, beijing 100876, peoples r china","beijing univ posts & telecommun, state key lab networking & switching technol, beijing 100876, peoples r china","beijing university posts and telecommunications, state key laboratory networking and switching technology, beijing 100876, peoples r china",3880,beijing university
710,"cea saclay(cea saclay),gif-sur-yvette,france","cea saclay(cea saclay),gif-sur-yvette,france","cea saclay(cea saclay),gif-sur-yvette,france",3874,cea saclay
711,"university health network, princess margaret canc center, toronto, on, canada","univ hlth network, princess margaret canc ctr, toronto, on, canada","university health network, princess margaret canc center, toronto, on, canada",3864,university health network
712,"florida hospital, orlando, fl usa","florida hosp, orlando, fl usa","florida hospital, orlando, fl usa",3860,NaN
713,university of ulsan college of medicine,university of ulsan college of medicine,university of ulsan college of medicine,3853,university of ulsan college of medicine
714,"international center for elementary particle physics and department of physics, the university of tokyo, tokyo, japan.","international center for elementary particle physics and department of physics, the university of tokyo, tokyo, japan.","international center for elementary particle physics and department of physics, the university of tokyo, tokyo, japan.",3848,the university of tokyo
715,agricultural applied economics association,agricultural applied economics association,agricultural applied economics association,3845,agricultural applied economics association
716,"los alamos national laboratory, los alamos, nm usa","los alamos natl lab, los alamos, nm usa","los alamos national laboratory, los alamos, nm usa",3838,los alamos national laboratory
717,university of castilla la mancha,university of castilla la mancha,university of castilla la mancha,3838,university of castilla la mancha
718,"china national petroleum corporation(cnpc,china national petroleum corporation),beijing,china","china national petroleum corporation(cnpc,china national petroleum corporation),beijing,china","china national petroleum corporation(cnpc,china national petroleum corporation),beijing,china",3836,china national petroleum corporation
719,"imperial college,london,united kingdom","imperial college,london,united kingdom","imperial college,london,united kingdom",3835,imperial college
720,"university nacl autonoma mexico, mexico city, df, mexico","univ nacl autonoma mexico, mexico city, df, mexico","university nacl autonoma mexico, mexico city, df, mexico",3835,nacl autonoma mexico
721,"korea adv institute sciences and technology, department elect engineering, taejon 305701, south korea","korea adv inst sci & technol, dept elect engn, taejon 305701, south korea","korea adv institute sciences and technology, department elect engineering, taejon 305701, south korea",3834,department elect engineering
722,"university wisconsin,madison,wi 53706","univ wisconsin,madison,wi 53706","university wisconsin,madison,wi 53706",3833,university wisconsin
723,"massachusetts general hosp,boston,ma 02114","massachusetts gen hosp,boston,ma 02114","massachusetts general hosp,boston,ma 02114",3830,NaN
724,magister,magister,magister,3827,magister
725,"university wisconsin, milwaukee, wi 53201 usa","univ wisconsin, milwaukee, wi 53201 usa","university wisconsin, milwaukee, wi 53201 usa",3817,university wisconsin
726,"cedars sinai heart institute, los angeles, ca usa","cedars sinai heart inst, los angeles, ca usa","cedars sinai heart institute, los angeles, ca usa",3817,cedars sinai heart institute
727,"chinese academy sciences, institute semicond, state key laboratory superlattices and microstruct, beijing 100083, peoples r china","chinese acad sci, inst semicond, state key lab superlattices & microstruct, beijing 100083, peoples r china","chinese academy sciences, institute semicond, state key laboratory superlattices and microstruct, beijing 100083, peoples r china",3810,chinese academy sciences
728,"wake forest sch medicine, winston salem, nc usa","wake forest sch med, winston salem, nc usa","wake forest sch medicine, winston salem, nc usa",3805,wake forest sch medicine
729,"tokyo, japan","tokyo, japan","tokyo, japan",3804,NaN
730,"university calif san diego, department psychiat, la jolla, ca 92093 usa","univ calif san diego, dept psychiat, la jolla, ca 92093 usa","university calif san diego, department psychiat, la jolla, ca 92093 usa",3802,university calif
731,"oak ridge national laboratory, materials sciences and technology div, oak ridge, tn 37831 usa","oak ridge natl lab, mat sci & technol div, oak ridge, tn 37831 usa","oak ridge national laboratory, materials sciences and technology div, oak ridge, tn 37831 usa",3799,NaN
